model,optimizer,learning_rate,accuracy,precision,recall,specificity,f1_score,auc,tn,fp,fn,tp,history_plot,roc_plot,classification_report,confusion_matrix
densenet121,adam,0.0001,0.7111111111111111,0.7021276595744681,0.7333333333333333,0.6888888888888889,0.717391304347826,0.8001234567901235,62,28,24,66,outputs_densenet121\plots\densenet121_adam_lr_0p0001_history.png,outputs_densenet121\plots\densenet121_adam_lr_0p0001_roc.png,outputs_densenet121\reports\densenet121_adam_lr_0p0001_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adam_lr_0p0001_confusion_matrix.csv
densenet121,adam,1e-05,0.5722222222222222,0.5467625899280576,0.8444444444444444,0.3,0.6637554585152838,0.6940740740740742,27,63,14,76,outputs_densenet121\plots\densenet121_adam_lr_1e-05_history.png,outputs_densenet121\plots\densenet121_adam_lr_1e-05_roc.png,outputs_densenet121\reports\densenet121_adam_lr_1e-05_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adam_lr_1e-05_confusion_matrix.csv
densenet121,adam,1e-06,0.4666666666666667,0.44,0.24444444444444444,0.6888888888888889,0.3142857142857143,0.5035802469135802,62,28,68,22,outputs_densenet121\plots\densenet121_adam_lr_1e-06_history.png,outputs_densenet121\plots\densenet121_adam_lr_1e-06_roc.png,outputs_densenet121\reports\densenet121_adam_lr_1e-06_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adam_lr_1e-06_confusion_matrix.csv
densenet121,adagrad,0.0001,0.5666666666666667,0.5454545454545454,0.8,0.3333333333333333,0.6486486486486487,0.5728395061728395,30,60,18,72,outputs_densenet121\plots\densenet121_adagrad_lr_0p0001_history.png,outputs_densenet121\plots\densenet121_adagrad_lr_0p0001_roc.png,outputs_densenet121\reports\densenet121_adagrad_lr_0p0001_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adagrad_lr_0p0001_confusion_matrix.csv
densenet121,adagrad,1e-05,0.4388888888888889,0.45045045045045046,0.5555555555555556,0.32222222222222224,0.4975124378109453,0.4045679012345679,29,61,40,50,outputs_densenet121\plots\densenet121_adagrad_lr_1e-05_history.png,outputs_densenet121\plots\densenet121_adagrad_lr_1e-05_roc.png,outputs_densenet121\reports\densenet121_adagrad_lr_1e-05_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adagrad_lr_1e-05_confusion_matrix.csv
densenet121,adagrad,1e-06,0.5555555555555556,0.5352112676056338,0.8444444444444444,0.26666666666666666,0.6551724137931034,0.5835802469135802,24,66,14,76,outputs_densenet121\plots\densenet121_adagrad_lr_1e-06_history.png,outputs_densenet121\plots\densenet121_adagrad_lr_1e-06_roc.png,outputs_densenet121\reports\densenet121_adagrad_lr_1e-06_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adagrad_lr_1e-06_confusion_matrix.csv
densenet121,adamax,0.0001,0.6166666666666667,0.7142857142857143,0.3888888888888889,0.8444444444444444,0.5035971223021583,0.7381481481481481,76,14,55,35,outputs_densenet121\plots\densenet121_adamax_lr_0p0001_history.png,outputs_densenet121\plots\densenet121_adamax_lr_0p0001_roc.png,outputs_densenet121\reports\densenet121_adamax_lr_0p0001_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adamax_lr_0p0001_confusion_matrix.csv
densenet121,adamax,1e-05,0.5055555555555555,0.504950495049505,0.5666666666666667,0.4444444444444444,0.5340314136125655,0.5437037037037038,40,50,39,51,outputs_densenet121\plots\densenet121_adamax_lr_1e-05_history.png,outputs_densenet121\plots\densenet121_adamax_lr_1e-05_roc.png,outputs_densenet121\reports\densenet121_adamax_lr_1e-05_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adamax_lr_1e-05_confusion_matrix.csv
densenet121,adamax,1e-06,0.5166666666666667,0.5333333333333333,0.26666666666666666,0.7666666666666667,0.35555555555555557,0.5149382716049382,69,21,66,24,outputs_densenet121\plots\densenet121_adamax_lr_1e-06_history.png,outputs_densenet121\plots\densenet121_adamax_lr_1e-06_roc.png,outputs_densenet121\reports\densenet121_adamax_lr_1e-06_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adamax_lr_1e-06_confusion_matrix.csv
densenet121,adadelta,0.0001,0.4722222222222222,0.48120300751879697,0.7111111111111111,0.23333333333333334,0.5739910313901345,0.4544444444444445,21,69,26,64,outputs_densenet121\plots\densenet121_adadelta_lr_0p0001_history.png,outputs_densenet121\plots\densenet121_adadelta_lr_0p0001_roc.png,outputs_densenet121\reports\densenet121_adadelta_lr_0p0001_classification_report.csv,outputs_densenet121\confusion_matrices\densenet121_adadelta_lr_0p0001_confusion_matrix.csv
