model,optimizer,learning_rate,accuracy,precision,recall,specificity,f1_score,auc,tn,fp,fn,tp,history_plot,roc_plot,classification_report,confusion_matrix
resnet50,adam,0.0001,0.5722222222222222,0.5596330275229358,0.6777777777777778,0.4666666666666667,0.6130653266331658,0.5808641975308643,42,48,29,61,outputs_resnet50\plots\resnet50_adam_lr_0p0001_history.png,outputs_resnet50\plots\resnet50_adam_lr_0p0001_roc.png,outputs_resnet50\reports\resnet50_adam_lr_0p0001_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adam_lr_0p0001_confusion_matrix.csv
resnet50,adam,1e-05,0.5055555555555555,0.5064935064935064,0.43333333333333335,0.5777777777777777,0.46706586826347307,0.5474074074074075,52,38,51,39,outputs_resnet50\plots\resnet50_adam_lr_1e-05_history.png,outputs_resnet50\plots\resnet50_adam_lr_1e-05_roc.png,outputs_resnet50\reports\resnet50_adam_lr_1e-05_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adam_lr_1e-05_confusion_matrix.csv
resnet50,adam,1e-06,0.5166666666666667,0.5109489051094891,0.7777777777777778,0.25555555555555554,0.6167400881057269,0.4653086419753086,23,67,20,70,outputs_resnet50\plots\resnet50_adam_lr_1e-06_history.png,outputs_resnet50\plots\resnet50_adam_lr_1e-06_roc.png,outputs_resnet50\reports\resnet50_adam_lr_1e-06_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adam_lr_1e-06_confusion_matrix.csv
resnet50,adagrad,0.0001,0.4444444444444444,0.3611111111111111,0.14444444444444443,0.7444444444444445,0.20634920634920634,0.4537037037037037,67,23,77,13,outputs_resnet50\plots\resnet50_adagrad_lr_0p0001_history.png,outputs_resnet50\plots\resnet50_adagrad_lr_0p0001_roc.png,outputs_resnet50\reports\resnet50_adagrad_lr_0p0001_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adagrad_lr_0p0001_confusion_matrix.csv
resnet50,adagrad,1e-05,0.48333333333333334,0.4838709677419355,0.5,0.4666666666666667,0.4918032786885246,0.4871604938271605,42,48,45,45,outputs_resnet50\plots\resnet50_adagrad_lr_1e-05_history.png,outputs_resnet50\plots\resnet50_adagrad_lr_1e-05_roc.png,outputs_resnet50\reports\resnet50_adagrad_lr_1e-05_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adagrad_lr_1e-05_confusion_matrix.csv
resnet50,adagrad,1e-06,0.5555555555555556,0.5347222222222222,0.8555555555555555,0.25555555555555554,0.6581196581196581,0.6239506172839506,23,67,13,77,outputs_resnet50\plots\resnet50_adagrad_lr_1e-06_history.png,outputs_resnet50\plots\resnet50_adagrad_lr_1e-06_roc.png,outputs_resnet50\reports\resnet50_adagrad_lr_1e-06_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adagrad_lr_1e-06_confusion_matrix.csv
resnet50,adamax,0.0001,0.5,0.5,0.25555555555555554,0.7444444444444445,0.3382352941176471,0.5441975308641975,67,23,67,23,outputs_resnet50\plots\resnet50_adamax_lr_0p0001_history.png,outputs_resnet50\plots\resnet50_adamax_lr_0p0001_roc.png,outputs_resnet50\reports\resnet50_adamax_lr_0p0001_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adamax_lr_0p0001_confusion_matrix.csv
resnet50,adamax,1e-05,0.55,0.5398230088495575,0.6777777777777778,0.4222222222222222,0.6009852216748769,0.5493827160493826,38,52,29,61,outputs_resnet50\plots\resnet50_adamax_lr_1e-05_history.png,outputs_resnet50\plots\resnet50_adamax_lr_1e-05_roc.png,outputs_resnet50\reports\resnet50_adamax_lr_1e-05_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adamax_lr_1e-05_confusion_matrix.csv
resnet50,adamax,1e-06,0.5333333333333333,0.5789473684210527,0.24444444444444444,0.8222222222222222,0.34375,0.5677777777777778,74,16,68,22,outputs_resnet50\plots\resnet50_adamax_lr_1e-06_history.png,outputs_resnet50\plots\resnet50_adamax_lr_1e-06_roc.png,outputs_resnet50\reports\resnet50_adamax_lr_1e-06_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adamax_lr_1e-06_confusion_matrix.csv
resnet50,adadelta,0.0001,0.45555555555555555,0.4636363636363636,0.5666666666666667,0.34444444444444444,0.51,0.4139506172839506,31,59,39,51,outputs_resnet50\plots\resnet50_adadelta_lr_0p0001_history.png,outputs_resnet50\plots\resnet50_adadelta_lr_0p0001_roc.png,outputs_resnet50\reports\resnet50_adadelta_lr_0p0001_classification_report.csv,outputs_resnet50\confusion_matrices\resnet50_adadelta_lr_0p0001_confusion_matrix.csv
